,cost time,FPS,1,2,3,coordinate,len
101.png,0.007489681243896484,133,person,,,"[[931, 499, 1042, 897]]",1
102.png,0.007265329360961914,137,person,,,"[[923, 508, 1037, 877]]",1
103.png,0.007936716079711914,125,person,,,"[[920, 508, 1042, 877]]",1
104.png,0.00755763053894043,132,person,,,"[[917, 506, 1042, 905]]",1
105.png,0.007467508316040039,133,person,,,"[[913, 500, 1038, 908]]",1
106.png,0.00757288932800293,132,person,,,"[[911, 494, 1043, 909]]",1
107.png,0.0074808597564697266,133,person,,,"[[900, 500, 1035, 900]]",1
108.png,0.007591724395751953,131,person,,,"[[909, 490, 1038, 927]]",1
109.png,0.007516622543334961,133,person,,,"[[896, 512, 1049, 914]]",1
110.png,0.006567239761352539,152,,,,[],0
111.png,0.006510257720947266,153,,,,[],0
112.png,0.006897449493408203,144,,,,[],0
113.png,0.007421255111694336,134,person,,,"[[893, 517, 1052, 930]]",1
114.png,0.007553815841674805,132,person,,,"[[885, 518, 1004, 913]]",1
115.png,0.00652623176574707,153,,,,[],0
116.png,0.006558895111083984,152,,,,[],0
117.png,0.007194042205810547,139,person,,,"[[856, 536, 972, 860]]",1
118.png,0.006699085235595703,149,,,,[],0
119.png,0.0071980953216552734,138,person,,,"[[873, 537, 971, 880]]",1
120.png,0.0072994232177734375,136,person,,,"[[871, 545, 983, 871]]",1
121.png,0.006781578063964844,147,,,,[],0
122.png,0.007170915603637695,139,person,,,"[[877, 526, 994, 895]]",1
123.png,0.0075855255126953125,131,bicycle,person,,"[[866, 643, 1012, 919], [871, 537, 1005, 889]]",2
124.png,0.007574796676635742,132,bicycle,person,,"[[867, 626, 1019, 928], [880, 529, 1005, 894]]",2
125.png,0.007516384124755859,133,person,,,"[[885, 535, 1005, 882]]",1
126.png,0.00740361213684082,135,person,,,"[[902, 536, 1013, 881]]",1
127.png,0.007216453552246094,138,person,,,"[[899, 535, 1013, 860]]",1
128.png,0.0071468353271484375,139,person,,,"[[899, 532, 1026, 850]]",1
129.png,0.007457256317138672,134,person,,,"[[894, 534, 1015, 857]]",1
130.png,0.00780487060546875,128,person,,,"[[884, 505, 1042, 918]]",1
131.png,0.006847381591796875,146,person,,,"[[880, 480, 1031, 942]]",1
132.png,0.006516218185424805,153,,,,[],0
133.png,0.006468057632446289,154,,,,[],0
134.png,0.0064923763275146484,154,,,,[],0
135.png,0.006499767303466797,153,,,,[],0
136.png,0.0064890384674072266,154,,,,[],0
137.png,0.007593631744384766,131,car,person,,"[[1001, 410, 1287, 536], [862, 499, 1020, 929]]",2
138.png,0.007266998291015625,137,car,person,,"[[1002, 409, 1282, 531], [892, 565, 1003, 854]]",2
139.png,0.006447792053222656,155,,,,[],0
140.png,0.0065155029296875,153,,,,[],0
141.png,0.007456779479980469,134,car,person,,"[[1079, 410, 1368, 551], [883, 542, 1005, 881]]",2
142.png,0.007640361785888672,130,car,person,,"[[1074, 439, 1402, 583], [887, 551, 1001, 861]]",2
143.png,0.007561206817626953,132,car,person,,"[[1076, 431, 1414, 597], [903, 542, 1023, 874]]",2
144.png,0.007786989212036133,128,car,,,"[[1050, 429, 1404, 607]]",1
145.png,0.007602214813232422,131,car,person,,"[[1083, 444, 1418, 604], [911, 543, 1026, 884]]",2
146.png,0.007445812225341797,134,car,,,"[[1044, 443, 1434, 618]]",1
147.png,0.007448673248291016,134,car,,,"[[1057, 445, 1456, 627]]",1
148.png,0.007135868072509766,140,car,,,"[[1045, 455, 1490, 630]]",1
149.png,0.007090091705322266,141,car,,,"[[1041, 463, 1541, 644]]",1
150.png,0.007483005523681641,133,car,,,"[[1055, 460, 1558, 663]]",1
151.png,0.00789022445678711,126,car,person,,"[[1014, 460, 1609, 716], [878, 517, 1059, 901]]",2
152.png,0.007961273193359375,125,car,,,"[[990, 458, 1641, 720]]",1
153.png,0.007579326629638672,131,car,,,"[[1073, 432, 1621, 710]]",1
154.png,0.0076656341552734375,130,car,,,"[[967, 469, 1662, 733]]",1
155.png,0.007184743881225586,139,car,,,"[[1061, 478, 1733, 754]]",1
156.png,0.007401704788208008,135,car,,,"[[1064, 475, 1755, 781]]",1
157.png,0.007733821868896484,129,car,,,"[[1073, 457, 1781, 802]]",1
158.png,0.007543325424194336,132,car,,,"[[1106, 472, 1772, 805]]",1
159.png,0.007464408874511719,133,car,,,"[[1043, 472, 1866, 948]]",1
160.png,0.0075609683990478516,132,car,,,"[[1043, 472, 1866, 948]]",1
161.png,0.006449460983276367,155,,,,[],0
162.png,0.00667881965637207,149,,,,[],0
163.png,0.006579875946044922,151,,,,[],0
164.png,0.0061817169189453125,161,,,,[],0
165.png,0.006502389907836914,153,,,,[],0
166.png,0.006501913070678711,153,,,,[],0
167.png,0.006751537322998047,148,,,,[],0
168.png,0.00626826286315918,159,,,,[],0
169.png,0.006465435028076172,154,,,,[],0
170.png,0.006833314895629883,146,,,,[],0
171.png,0.006541013717651367,152,,,,[],0
172.png,0.006535768508911133,153,,,,[],0
173.png,0.006476402282714844,154,,,,[],0
174.png,0.006462812423706055,154,,,,[],0
175.png,0.006465911865234375,154,,,,[],0
176.png,0.006605863571166992,151,,,,[],0
177.png,0.007212638854980469,138,bottle,,,"[[1135, 552, 1295, 701]]",1
178.png,0.006768703460693359,147,,,,[],0
179.png,0.006492137908935547,154,,,,[],0
180.png,0.0073664188385009766,135,bottle,,,"[[1165, 589, 1394, 791]]",1
181.png,0.0072057247161865234,138,bottle,,,"[[1170, 595, 1402, 816]]",1
182.png,0.00754237174987793,132,bottle,,,"[[1146, 607, 1411, 817]]",1
183.png,0.007250308990478516,137,bottle,,,"[[1272, 672, 1446, 894]]",1
184.png,0.006537675857543945,152,,,,[],0
185.png,0.006705760955810547,149,,,,[],0
186.png,0.0063970088958740234,156,,,,[],0
187.png,0.007161855697631836,139,bottle,,,"[[1230, 671, 1580, 1033]]",1
188.png,0.0065441131591796875,152,,,,[],0
189.png,0.006907939910888672,144,,,,[],0
190.png,0.006570577621459961,152,,,,[],0
191.png,0.007004737854003906,142,person,,,"[[919, 545, 1049, 833]]",1
192.png,0.007107257843017578,140,person,,,"[[923, 548, 1046, 842]]",1
193.png,0.007737159729003906,129,person,person,,"[[912, 536, 1046, 879], [194, 816, 625, 1079]]",2
194.png,0.006749868392944336,148,,,,[],0
195.png,0.006433963775634766,155,,,,[],0
196.png,0.006833076477050781,146,,,,[],0
197.png,0.006474971771240234,154,,,,[],0
198.png,0.006451606750488281,155,,,,[],0
199.png,0.0071713924407958984,139,car,,,"[[1237, 452, 1472, 628]]",1
200.png,0.007376432418823242,135,car,,,"[[1230, 451, 1475, 625]]",1
201.png,0.007242679595947266,138,bottle,,,"[[605, 646, 1085, 911]]",1
202.png,0.006518840789794922,153,,,,[],0
203.png,0.006483554840087891,154,,,,[],0
204.png,0.0073108673095703125,136,bottle,car,,"[[699, 575, 1168, 841], [1228, 427, 1510, 596]]",2
205.png,0.007455110549926758,134,car,,,"[[1230, 425, 1511, 598]]",1
206.png,0.007224559783935547,138,bottle,car,,"[[687, 571, 1169, 819], [1241, 374, 1476, 570]]",2
207.png,0.007561922073364258,132,car,,,"[[1228, 252, 1491, 459]]",1
208.png,0.007477998733520508,133,car,,,"[[1226, 188, 1506, 382]]",1
209.png,0.00748896598815918,133,car,,,"[[1226, 188, 1506, 382]]",1
210.png,0.007967472076416016,125,bottle,bottle,car,"[[646, 402, 1172, 668], [679, 476, 991, 627], [1234, 165, 1502, 385]]",3
211.png,0.007500410079956055,133,car,,,"[[1235, 166, 1510, 379]]",1
212.png,0.007172584533691406,139,car,,,"[[1232, 171, 1513, 379]]",1
213.png,0.006497621536254883,153,,,,[],0
214.png,0.006553173065185547,152,,,,[],0
215.png,0.007223844528198242,138,car,,,"[[1240, 221, 1481, 488]]",1
216.png,0.007546663284301758,132,car,,,"[[1231, 228, 1491, 491]]",1
217.png,0.006501197814941406,153,,,,[],0
218.png,0.00690460205078125,144,,,,[],0
219.png,0.00654292106628418,152,,,,[],0
220.png,0.0067327022552490234,148,,,,[],0
221.png,0.006737709045410156,148,,,,[],0
222.png,0.006709575653076172,149,,,,[],0
223.png,0.007506370544433594,133,car,,,"[[1249, 200, 1650, 434]]",1
224.png,0.007282733917236328,137,car,,,"[[1330, 201, 1696, 433]]",1
225.png,0.006356000900268555,157,,,,[],0
226.png,0.006601810455322266,151,,,,[],0
227.png,0.006387233734130859,156,,,,[],0
228.png,0.00656580924987793,152,,,,[],0
229.png,0.006498813629150391,153,,,,[],0
230.png,0.007166624069213867,139,motorbike,,,"[[572, 296, 983, 791]]",1
231.png,0.016094446182250977,62,car,motorbike,,"[[374, 42, 737, 259], [528, 359, 889, 861]]",2
232.png,0.007209062576293945,138,motorbike,,,"[[579, 317, 940, 904]]",1
233.png,0.006810426712036133,146,motorbike,,,"[[579, 317, 940, 904]]",1
234.png,0.007258415222167969,137,motorbike,,,"[[456, 298, 927, 931]]",1
235.png,0.006590366363525391,151,car,,,"[[89, 97, 614, 351]]",1
236.png,0.006260871887207031,159,,,,[],0
237.png,0.006602048873901367,151,,,,[],0
238.png,0.006565093994140625,152,,,,[],0
239.png,0.0072689056396484375,137,car,,,"[[88, 105, 595, 343]]",1
240.png,0.007689237594604492,130,motorbike,,,"[[604, 319, 1098, 911]]",1
241.png,0.006540775299072266,152,,,,[],0
242.png,0.007495880126953125,133,motorbike,,,"[[284, 152, 1083, 950]]",1
243.png,0.007935523986816406,126,motorbike,,,"[[283, 265, 1058, 987]]",1
244.png,0.007498502731323242,133,motorbike,,,"[[277, 280, 1124, 973]]",1
245.png,0.007946014404296875,125,motorbike,,,"[[390, 324, 1131, 932]]",1
246.png,0.007510662078857422,133,motorbike,,,"[[426, 282, 1228, 964]]",1
247.png,0.007524967193603516,132,motorbike,,,"[[400, 279, 1244, 978]]",1
248.png,0.007452487945556641,134,motorbike,,,"[[365, 299, 1256, 968]]",1
249.png,0.007516145706176758,133,motorbike,,,"[[375, 389, 1285, 1016]]",1
250.png,0.007504940032958984,133,motorbike,,,"[[363, 402, 1296, 1010]]",1
251.png,0.007537841796875,132,motorbike,,,"[[368, 407, 1294, 1005]]",1
252.png,0.007532596588134766,132,motorbike,,,"[[361, 400, 1295, 1006]]",1
253.png,0.007569074630737305,132,motorbike,,,"[[360, 398, 1295, 1005]]",1
254.png,0.0075380802154541016,132,motorbike,,,"[[359, 398, 1304, 1004]]",1
255.png,0.0075948238372802734,131,motorbike,,,"[[370, 379, 1308, 1016]]",1
256.png,0.007773399353027344,128,motorbike,,,"[[372, 384, 1311, 1009]]",1
257.png,0.007608175277709961,131,motorbike,,,"[[364, 374, 1309, 1021]]",1
258.png,0.007558584213256836,132,motorbike,,,"[[364, 374, 1309, 1021]]",1
259.png,0.0077266693115234375,129,motorbike,,,"[[369, 375, 1312, 1018]]",1
260.png,0.007523059844970703,132,motorbike,,,"[[374, 374, 1310, 1020]]",1
261.png,0.007627964019775391,131,motorbike,person,,"[[385, 376, 1308, 1018], [1284, 498, 1868, 1079]]",2
262.png,0.00727391242980957,137,motorbike,person,,"[[386, 377, 1308, 1017], [1282, 506, 1871, 1079]]",2
263.png,0.008125543594360352,123,motorbike,person,,"[[387, 378, 1308, 1017], [1281, 504, 1873, 1079]]",2
264.png,0.0076215267181396484,131,motorbike,person,,"[[387, 376, 1308, 1018], [1282, 506, 1873, 1079]]",2
265.png,0.007497549057006836,133,motorbike,,,"[[387, 374, 1309, 1019]]",1
266.png,0.007574319839477539,132,motorbike,person,,"[[390, 373, 1307, 1020], [1281, 499, 1876, 1079]]",2
267.png,0.007487297058105469,133,motorbike,,,"[[390, 373, 1307, 1021]]",1
268.png,0.007754087448120117,128,motorbike,person,,"[[390, 375, 1308, 1020], [1285, 499, 1874, 1079]]",2
269.png,0.007593631744384766,131,motorbike,,,"[[389, 374, 1308, 1021]]",1
270.png,0.007505655288696289,133,motorbike,,,"[[390, 374, 1307, 1021]]",1
271.png,0.008053302764892578,124,motorbike,person,,"[[389, 375, 1309, 1020], [1289, 497, 1867, 1079]]",2
272.png,0.007336854934692383,136,motorbike,,,"[[390, 379, 1306, 1014]]",1
273.png,0.0075418949127197266,132,motorbike,,,"[[392, 382, 1305, 1013]]",1
274.png,0.008939743041992188,111,motorbike,person,,"[[378, 375, 1312, 1014], [1296, 506, 1863, 1079]]",2
275.png,0.007714509963989258,129,motorbike,,,"[[393, 361, 1324, 1032]]",1
276.png,0.0174560546875,57,motorbike,,,"[[393, 360, 1322, 1032]]",1
277.png,0.007510662078857422,133,motorbike,,,"[[394, 358, 1319, 1032]]",1
278.png,0.007808685302734375,128,motorbike,,,"[[394, 359, 1319, 1032]]",1
279.png,0.007512092590332031,133,motorbike,,,"[[393, 361, 1321, 1031]]",1
280.png,0.0075380802154541016,132,motorbike,,,"[[384, 356, 1333, 1036]]",1
281.png,0.007560014724731445,132,motorbike,,,"[[385, 356, 1332, 1036]]",1
282.png,0.0075397491455078125,132,motorbike,,,"[[385, 356, 1332, 1036]]",1
283.png,0.007514238357543945,133,motorbike,,,"[[385, 353, 1331, 1038]]",1
284.png,0.00755620002746582,132,motorbike,,,"[[361, 271, 1365, 987]]",1
285.png,0.007481098175048828,133,motorbike,,,"[[493, 270, 1341, 986]]",1
286.png,0.00706791877746582,141,,,,[],0
287.png,0.00658106803894043,151,,,,[],0
288.png,0.00739741325378418,135,motorbike,,,"[[579, 156, 996, 573]]",1
289.png,0.007172107696533203,139,motorbike,,,"[[581, 156, 996, 574]]",1
290.png,0.007384777069091797,135,motorbike,,,"[[583, 154, 993, 576]]",1
291.png,0.007652759552001953,130,motorbike,,,"[[584, 152, 995, 576]]",1
292.png,0.007234334945678711,138,motorbike,,,"[[577, 149, 1004, 576]]",1
293.png,0.006956338882446289,143,motorbike,,,"[[577, 152, 1000, 572]]",1
294.png,0.007267951965332031,137,motorbike,,,"[[577, 150, 1000, 574]]",1
295.png,0.0072023868560791016,138,motorbike,,,"[[577, 150, 999, 575]]",1
296.png,0.007463693618774414,133,motorbike,,,"[[580, 153, 997, 572]]",1
297.png,0.007198333740234375,138,motorbike,,,"[[580, 161, 1000, 564]]",1
298.png,0.007390022277832031,135,motorbike,,,"[[580, 162, 998, 564]]",1
299.png,0.007626056671142578,131,car,motorbike,,"[[27, 16, 508, 263], [433, 48, 1769, 1031]]",2
300.png,0.007566213607788086,132,motorbike,,,"[[494, 26, 1745, 1054]]",1
301.png,0.007491588592529297,133,motorbike,,,"[[604, 85, 1853, 991]]",1
302.png,0.007511138916015625,133,motorbike,,,"[[510, 36, 1730, 1027]]",1
303.png,0.007779836654663086,128,motorbike,,,"[[482, 56, 1752, 1016]]",1
304.png,0.00748896598815918,133,motorbike,,,"[[306, 0, 1650, 1079]]",1
305.png,0.0075342655181884766,132,motorbike,,,"[[254, 53, 1687, 1049]]",1
306.png,0.007462501525878906,134,motorbike,,,"[[162, 65, 1731, 1040]]",1
307.png,0.007508754730224609,133,motorbike,,,"[[162, 65, 1731, 1040]]",1
308.png,0.0073659420013427734,135,motorbike,,,"[[160, 189, 1702, 1033]]",1
309.png,0.007566690444946289,132,motorbike,,,"[[143, 139, 1715, 1074]]",1
310.png,0.0074939727783203125,133,motorbike,,,"[[121, 8, 1747, 1079]]",1
311.png,0.007485151290893555,133,motorbike,,,"[[140, 26, 1734, 1053]]",1
312.png,0.0065610408782958984,152,,,,[],0
313.png,0.008363723754882812,119,bicycle,motorbike,,"[[1532, 106, 1919, 470], [151, 33, 1731, 1051]]",2
314.png,0.007887840270996094,126,motorbike,person,,"[[213, 273, 1695, 970], [801, 162, 1170, 722]]",2
315.png,0.008062124252319336,124,bicycle,motorbike,person,"[[1423, 156, 1919, 447], [84, 260, 1791, 991], [725, 125, 1194, 815]]",3
316.png,0.008361339569091797,119,bicycle,motorbike,person,"[[1420, 150, 1919, 460], [180, 23, 1725, 1059], [672, 31, 1229, 1028]]",3
317.png,0.007596254348754883,131,bicycle,motorbike,,"[[1463, 230, 1919, 504], [166, 325, 1749, 1074]]",2
318.png,0.006572246551513672,152,,,,[],0
319.png,0.006582736968994141,151,,,,[],0
320.png,0.006506681442260742,153,,,,[],0
321.png,0.007195234298706055,138,motorbike,,,"[[1293, 204, 1789, 559]]",1
322.png,0.0075871944427490234,131,motorbike,,,"[[1321, 308, 1818, 607]]",1
323.png,0.007506847381591797,133,motorbike,,,"[[1459, 288, 1871, 634]]",1
324.png,0.006517887115478516,153,,,,[],0
325.png,0.006663084030151367,150,,,,[],0
326.png,0.006470203399658203,154,,,,[],0
327.png,0.006436824798583984,155,,,,[],0
328.png,0.007142305374145508,140,person,,,"[[834, 527, 1124, 915]]",1
329.png,0.00716853141784668,139,person,,,"[[852, 522, 1107, 909]]",1
330.png,0.006512165069580078,153,,,,[],0
331.png,0.00652623176574707,153,,,,[],0
332.png,0.0069234371185302734,144,,,,[],0
333.png,0.006544351577758789,152,,,,[],0
334.png,0.006487369537353516,154,,,,[],0
335.png,0.006455183029174805,154,,,,[],0
336.png,0.00664520263671875,150,,,,[],0
337.png,0.006501436233520508,153,,,,[],0
338.png,0.006578683853149414,152,,,,[],0
339.png,0.006516218185424805,153,,,,[],0
340.png,0.0065042972564697266,153,,,,[],0
341.png,0.006552934646606445,152,,,,[],0
342.png,0.006481647491455078,154,,,,[],0
343.png,0.006498813629150391,153,,,,[],0
344.png,0.006459236145019531,154,,,,[],0
345.png,0.00646519660949707,154,,,,[],0
346.png,0.007173776626586914,139,motorbike,,,"[[97, 0, 1247, 928]]",1
347.png,0.007652997970581055,130,motorbike,person,,"[[28, 31, 1303, 1033], [338, 33, 961, 728]]",2
348.png,0.006211280822753906,160,,,,[],0
349.png,0.007489681243896484,133,motorbike,,,"[[247, 222, 1129, 989]]",1
350.png,0.00645136833190918,155,,,,[],0
351.png,0.006539821624755859,152,,,,[],0
352.png,0.006531953811645508,153,,,,[],0
353.png,0.006903409957885742,144,,,,[],0
354.png,0.006591320037841797,151,,,,[],0
355.png,0.006540775299072266,152,,,,[],0
356.png,0.006501913070678711,153,,,,[],0
357.png,0.0065729618072509766,152,,,,[],0
358.png,0.0064754486083984375,154,,,,[],0
359.png,0.007536649703979492,132,pottedplant,,,"[[368, 384, 912, 1040]]",1
360.png,0.007192373275756836,139,bird,,,"[[1514, 165, 1891, 421]]",1
361.png,0.006506681442260742,153,,,,[],0
362.png,0.006451845169067383,154,,,,[],0
363.png,0.007224559783935547,138,bird,,,"[[1597, 274, 1835, 445]]",1
364.png,0.006461143493652344,154,,,,[],0
365.png,0.007163524627685547,139,bird,,,"[[877, 634, 1105, 1079]]",1
366.png,0.006526470184326172,153,,,,[],0
367.png,0.006470203399658203,154,,,,[],0
368.png,0.006848812103271484,146,,,,[],0
369.png,0.006469011306762695,154,,,,[],0
370.png,0.006535768508911133,153,,,,[],0
371.png,0.006513833999633789,153,,,,[],0
372.png,0.006571531295776367,152,,,,[],0
373.png,0.006568431854248047,152,,,,[],0
374.png,0.006547212600708008,152,,,,[],0
375.png,0.0072021484375,138,bird,,,"[[852, 587, 1066, 1022]]",1
376.png,0.006741762161254883,148,,,,[],0
377.png,0.006732940673828125,148,,,,[],0
378.png,0.0065898895263671875,151,,,,[],0
379.png,0.006521940231323242,153,,,,[],0
380.png,0.006561279296875,152,,,,[],0
381.png,0.006539106369018555,152,,,,[],0
382.png,0.007527351379394531,132,bird,,,"[[803, 607, 1046, 971]]",1
383.png,0.0065762996673583984,152,,,,[],0
384.png,0.006544351577758789,152,,,,[],0
385.png,0.006500720977783203,153,,,,[],0
386.png,0.006529569625854492,153,,,,[],0
387.png,0.006459951400756836,154,,,,[],0
388.png,0.00720977783203125,138,pottedplant,,,"[[65, 51, 660, 1024]]",1
389.png,0.007450580596923828,134,pottedplant,,,"[[45, 24, 670, 1036]]",1
390.png,0.006616115570068359,151,,,,[],0
391.png,0.006536245346069336,152,,,,[],0
392.png,0.006518363952636719,153,,,,[],0
393.png,0.006517887115478516,153,,,,[],0
394.png,0.006428241729736328,155,,,,[],0
395.png,0.006514549255371094,153,,,,[],0
396.png,0.006888151168823242,145,,,,[],0
397.png,0.006472110748291016,154,,,,[],0
398.png,0.006495475769042969,153,,,,[],0
399.png,0.006575107574462891,152,,,,[],0
400.png,0.006499052047729492,153,,,,[],0
401.png,0.00646519660949707,154,,,,[],0
402.png,0.006536245346069336,152,,,,[],0
403.png,0.006505489349365234,153,,,,[],0
404.png,0.0065805912017822266,151,,,,[],0
405.png,0.006529092788696289,153,,,,[],0
406.png,0.0065746307373046875,152,,,,[],0
407.png,0.007190704345703125,139,pottedplant,,,"[[161, 309, 1471, 1079]]",1
