,cost time,FPS,1,2,3,coordinate,len
124.png,0.00751495361328125,133,car,,,"[[506, 484, 1120, 1071]]",1
125.png,0.007307529449462891,136,car,person,,"[[492, 481, 1128, 1079], [139, 261, 319, 489]]",2
126.png,0.006455421447753906,154,,,,[],0
127.png,0.007420778274536133,134,car,,,"[[481, 481, 1100, 1077]]",1
128.png,0.0074999332427978516,133,car,car,,"[[500, 471, 1112, 1079], [99, 190, 623, 420]]",2
129.png,0.007524967193603516,132,car,,,"[[548, 575, 1121, 962]]",1
130.png,0.007497310638427734,133,car,,,"[[664, 543, 1176, 984]]",1
131.png,0.0074765682220458984,133,car,,,"[[671, 555, 1195, 967]]",1
132.png,0.007802724838256836,128,car,car,,"[[684, 581, 1223, 959], [465, 374, 672, 508]]",2
133.png,0.007923126220703125,126,car,car,,"[[450, 364, 684, 524], [729, 600, 1249, 941]]",2
134.png,0.007260560989379883,137,car,,,"[[476, 375, 778, 516]]",1
135.png,0.006814002990722656,146,car,,,"[[488, 368, 748, 523]]",1
136.png,0.007267951965332031,137,car,,,"[[488, 368, 748, 523]]",1
137.png,0.007268667221069336,137,car,,,"[[542, 363, 786, 532]]",1
138.png,0.0076825618743896484,130,car,person,,"[[865, 590, 1338, 960], [165, 253, 334, 494]]",2
139.png,0.007872343063354492,127,car,car,person,"[[671, 348, 925, 523], [824, 381, 1919, 1052], [158, 249, 338, 488]]",3
140.png,0.0073125362396240234,136,car,person,,"[[749, 361, 954, 524], [123, 275, 324, 478]]",2
141.png,0.007157087326049805,139,car,,,"[[853, 354, 1119, 536]]",1
142.png,0.007108211517333984,140,car,,,"[[869, 351, 1120, 542]]",1
143.png,0.0071446895599365234,139,bird,,,"[[30, 241, 376, 499]]",1
144.png,0.007865190505981445,127,bird,car,,"[[14, 256, 378, 519], [855, 585, 1296, 954]]",2
145.png,0.007950544357299805,125,car,,,"[[839, 544, 1323, 904]]",1
146.png,0.0071680545806884766,139,car,,,"[[755, 605, 1239, 959]]",1
147.png,0.0072422027587890625,138,car,,,"[[698, 571, 1234, 980]]",1
148.png,0.008534669876098633,117,car,car,,"[[679, 554, 1220, 978], [1235, 405, 1862, 676]]",2
149.png,0.007447004318237305,134,car,car,,"[[678, 546, 1170, 980], [1230, 431, 1858, 696]]",2
150.png,0.0072803497314453125,137,car,car,,"[[1269, 459, 1863, 740], [678, 550, 1162, 982]]",2
151.png,0.007004737854003906,142,car,,,"[[581, 579, 1128, 947]]",1
152.png,0.007843732833862305,127,car,car,person,"[[1275, 445, 1866, 821], [555, 585, 1088, 964], [113, 277, 350, 472]]",3
153.png,0.006470203399658203,154,,,,[],0
154.png,0.006968975067138672,143,,,,[],0
155.png,0.006486415863037109,154,,,,[],0
156.png,0.006365299224853516,157,,,,[],0
157.png,0.006728649139404297,148,,,,[],0
158.png,0.0062482357025146484,160,,,,[],0
159.png,0.0064067840576171875,156,,,,[],0
160.png,0.0065305233001708984,153,,,,[],0
161.png,0.006468772888183594,154,,,,[],0
162.png,0.0065119266510009766,153,,,,[],0
163.png,0.0065381526947021484,152,,,,[],0
164.png,0.006707429885864258,149,,,,[],0
165.png,0.007156848907470703,139,car,car,,"[[556, 557, 1031, 969], [1534, 185, 1899, 574]]",2
166.png,0.007477521896362305,133,car,,,"[[559, 566, 1031, 975]]",1
167.png,0.007691383361816406,130,car,,,"[[554, 573, 1038, 969]]",1
168.png,0.00720524787902832,138,car,,,"[[574, 578, 1035, 968]]",1
169.png,0.007931947708129883,126,bus,car,,"[[1261, 99, 1902, 796], [550, 577, 1050, 964]]",2
170.png,0.0066335201263427734,150,,,,[],0
171.png,0.006563901901245117,152,,,,[],0
172.png,0.007469654083251953,133,car,,,"[[561, 582, 1061, 974]]",1
173.png,0.007613420486450195,131,car,,,"[[571, 542, 1051, 902]]",1
174.png,0.006475925445556641,154,,,,[],0
175.png,0.007840871810913086,127,car,,,"[[513, 598, 1055, 955]]",1
176.png,0.007810115814208984,128,car,,,"[[523, 591, 1059, 958]]",1
177.png,0.007559299468994141,132,car,,,"[[519, 591, 1060, 959]]",1
178.png,0.00748133659362793,133,car,,,"[[537, 551, 1057, 897]]",1
179.png,0.007543325424194336,132,car,,,"[[534, 595, 1054, 950]]",1
180.png,0.007525920867919922,132,car,,,"[[535, 594, 1052, 952]]",1
181.png,0.0074651241302490234,133,car,,,"[[548, 549, 1071, 908]]",1
182.png,0.0075304508209228516,132,car,car,,"[[544, 580, 1057, 961], [432, 399, 528, 458]]",2
183.png,0.007019996643066406,142,car,,,"[[664, 559, 1158, 982]]",1
184.png,0.00679469108581543,147,car,,,"[[721, 570, 1253, 967]]",1
185.png,0.007693052291870117,129,car,,,"[[721, 570, 1253, 967]]",1
186.png,0.007559537887573242,132,car,,,"[[751, 570, 1252, 961]]",1
187.png,0.007521152496337891,132,car,,,"[[747, 570, 1256, 965]]",1
188.png,0.007458686828613281,134,car,,,"[[745, 590, 1264, 964]]",1
189.png,0.007230043411254883,138,car,,,"[[748, 589, 1261, 972]]",1
190.png,0.0074269771575927734,134,car,,,"[[753, 586, 1271, 979]]",1
191.png,0.007412433624267578,134,car,,,"[[807, 573, 1326, 981]]",1
192.png,0.0075342655181884766,132,car,,,"[[806, 573, 1319, 979]]",1
193.png,0.007574796676635742,132,car,,,"[[744, 581, 1275, 965]]",1
194.png,0.007519245147705078,132,car,,,"[[724, 567, 1269, 975]]",1
195.png,0.00751805305480957,133,car,,,"[[716, 563, 1256, 980]]",1
196.png,0.007580280303955078,131,car,,,"[[682, 554, 1221, 987]]",1
197.png,0.0074901580810546875,133,car,,,"[[687, 572, 1216, 988]]",1
198.png,0.007010221481323242,142,car,,,"[[677, 566, 1194, 984]]",1
199.png,0.00795602798461914,125,car,,,"[[679, 576, 1190, 985]]",1
200.png,0.007725238800048828,129,car,,,"[[684, 563, 1177, 973]]",1
201.png,0.007482290267944336,133,car,,,"[[713, 514, 1161, 935]]",1
202.png,0.007472038269042969,133,car,,,"[[678, 567, 1186, 976]]",1
203.png,0.007433176040649414,134,car,,,"[[715, 521, 1148, 927]]",1
204.png,0.006537199020385742,152,,,,[],0
205.png,0.007166862487792969,139,car,,,"[[717, 516, 1142, 917]]",1
206.png,0.006478548049926758,154,,,,[],0
207.png,0.006482839584350586,154,,,,[],0
208.png,0.0078582763671875,127,car,car,,"[[726, 548, 1144, 900], [646, 403, 756, 489]]",2
209.png,0.0075109004974365234,133,car,car,,"[[726, 548, 1144, 900], [646, 403, 756, 489]]",2
210.png,0.007488250732421875,133,car,car,,"[[734, 551, 1151, 897], [598, 404, 725, 502]]",2
211.png,0.0071675777435302734,139,car,,,"[[493, 424, 655, 512]]",1
212.png,0.007554531097412109,132,car,car,,"[[690, 599, 1187, 953], [438, 434, 637, 523]]",2
213.png,0.0074880123138427734,133,car,car,,"[[692, 595, 1183, 955], [388, 430, 623, 525]]",2
214.png,0.007480144500732422,133,car,,,"[[681, 575, 1192, 960]]",1
215.png,0.00748443603515625,133,car,,,"[[673, 580, 1201, 959]]",1
216.png,0.007475852966308594,133,car,,,"[[665, 580, 1203, 961]]",1
217.png,0.0076618194580078125,130,car,,,"[[684, 560, 1197, 987]]",1
218.png,0.00748753547668457,133,car,,,"[[721, 493, 1181, 953]]",1
219.png,0.0073659420013427734,135,car,,,"[[708, 493, 1202, 950]]",1
220.png,0.006522417068481445,153,,,,[],0
221.png,0.006634235382080078,150,,,,[],0
222.png,0.006489276885986328,154,,,,[],0
223.png,0.006219148635864258,160,,,,[],0
224.png,0.0065155029296875,153,,,,[],0
225.png,0.006762027740478516,147,,,,[],0
226.png,0.006662845611572266,150,,,,[],0
227.png,0.0071811676025390625,139,car,,,"[[1144, 380, 1306, 475]]",1
228.png,0.007226228713989258,138,car,,,"[[1137, 374, 1317, 481]]",1
229.png,0.007511615753173828,133,car,car,,"[[1155, 361, 1408, 497], [711, 588, 1195, 1006]]",2
230.png,0.007499217987060547,133,car,car,,"[[701, 603, 1189, 948], [1168, 371, 1402, 492]]",2
231.png,0.007554769515991211,132,car,,,"[[713, 591, 1195, 963]]",1
232.png,0.007504701614379883,133,car,car,,"[[707, 601, 1220, 956], [817, 415, 910, 508]]",2
233.png,0.007492780685424805,133,car,car,,"[[707, 601, 1220, 956], [817, 415, 910, 508]]",2
234.png,0.007536172866821289,132,car,car,,"[[719, 601, 1205, 955], [815, 419, 913, 507]]",2
235.png,0.008156299591064453,122,car,car,car,"[[803, 427, 915, 511], [1295, 324, 1797, 578], [730, 602, 1206, 955]]",3
236.png,0.0077016353607177734,129,car,car,,"[[796, 427, 915, 522], [719, 603, 1217, 953]]",2
237.png,0.007555246353149414,132,car,car,,"[[707, 591, 1245, 964], [769, 428, 892, 522]]",2
238.png,0.007505655288696289,133,car,car,,"[[678, 573, 1234, 982], [730, 428, 849, 532]]",2
239.png,0.007909059524536133,126,car,car,,"[[658, 559, 1225, 985], [725, 422, 840, 535]]",2
240.png,0.006804943084716797,146,car,car,,"[[668, 556, 1219, 981], [724, 417, 834, 536]]",2
241.png,0.007669210433959961,130,car,car,,"[[670, 569, 1214, 975], [652, 428, 770, 543]]",2
242.png,0.008209943771362305,121,car,car,,"[[697, 590, 1234, 953], [561, 434, 695, 535]]",2
243.png,0.0075495243072509766,132,car,car,,"[[684, 596, 1236, 945], [566, 433, 679, 528]]",2
244.png,0.007764101028442383,128,car,car,,"[[685, 590, 1235, 947], [504, 452, 628, 559]]",2
245.png,0.007589101791381836,131,car,car,,"[[676, 575, 1227, 952], [342, 453, 509, 572]]",2
246.png,0.00698542594909668,143,car,car,,"[[690, 577, 1230, 948], [299, 441, 504, 578]]",2
247.png,0.0075757503509521484,132,car,car,,"[[685, 568, 1223, 966], [154, 453, 392, 586]]",2
248.png,0.007597923278808594,131,car,car,,"[[677, 564, 1222, 959], [10, 445, 210, 608]]",2
249.png,0.0075299739837646484,132,car,car,,"[[676, 573, 1224, 961], [12, 447, 181, 605]]",2
250.png,0.007578849792480469,131,car,car,,"[[668, 568, 1231, 965], [0, 451, 96, 603]]",2
251.png,0.0074787139892578125,133,car,,,"[[676, 568, 1224, 968]]",1
252.png,0.0076634883880615234,130,car,,,"[[816, 598, 1297, 952]]",1
253.png,0.007196903228759766,138,car,,,"[[822, 591, 1324, 951]]",1
254.png,0.00653386116027832,153,,,,[],0
255.png,0.0074329376220703125,134,car,,,"[[0, 468, 148, 611]]",1
256.png,0.0074214935302734375,134,car,,,"[[0, 462, 183, 622]]",1
257.png,0.0072956085205078125,137,car,,,"[[0, 475, 192, 633]]",1
258.png,0.007402896881103516,135,car,,,"[[0, 475, 192, 633]]",1
259.png,0.0074956417083740234,133,car,car,,"[[870, 533, 1324, 926], [855, 393, 1036, 510]]",2
260.png,0.007443904876708984,134,car,,,"[[845, 525, 1332, 936]]",1
261.png,0.007918834686279297,126,car,,,"[[854, 581, 1335, 950]]",1
262.png,0.007700443267822266,129,car,,,"[[823, 570, 1348, 959]]",1
263.png,0.007173776626586914,139,car,,,"[[835, 508, 1309, 944]]",1
264.png,0.0074770450592041016,133,car,,,"[[845, 518, 1305, 939]]",1
265.png,0.0072286128997802734,138,car,,,"[[775, 527, 1253, 923]]",1
266.png,0.006575345993041992,152,,,,[],0
267.png,0.006839275360107422,146,,,,[],0
268.png,0.007511615753173828,133,car,car,,"[[715, 632, 1165, 930], [464, 478, 647, 620]]",2
269.png,0.007635593414306641,130,car,car,,"[[711, 158, 1829, 1071], [527, 460, 741, 620]]",2
270.png,0.0072476863861083984,137,car,,,"[[559, 438, 784, 596]]",1
271.png,0.00696110725402832,143,car,car,,"[[564, 429, 794, 592], [736, 622, 1198, 934]]",2
272.png,0.0074024200439453125,135,car,,,"[[580, 442, 764, 583]]",1
273.png,0.007234096527099609,138,car,,,"[[559, 446, 730, 579]]",1
274.png,0.006559133529663086,152,,,,[],0
275.png,0.007574796676635742,132,car,,,"[[724, 384, 1236, 1032]]",1
276.png,0.0072515010833740234,137,car,,,"[[777, 439, 1171, 992]]",1
277.png,0.007216215133666992,138,car,,,"[[492, 404, 635, 539]]",1
278.png,0.008080005645751953,123,car,car,car,"[[714, 578, 1164, 997], [465, 405, 650, 542], [796, 273, 1166, 507]]",3
279.png,0.006947040557861328,143,car,,,"[[423, 414, 610, 528]]",1
280.png,0.00747227668762207,133,car,car,,"[[739, 297, 1161, 585], [420, 404, 567, 520]]",2
281.png,0.008289575576782227,120,car,car,car,"[[704, 609, 1227, 954], [724, 329, 1163, 585], [480, 433, 813, 624]]",3
282.png,0.008169412612915039,122,car,car,car,"[[704, 609, 1227, 954], [724, 329, 1163, 585], [480, 433, 813, 624]]",3
283.png,0.008069515228271484,123,car,car,car,"[[690, 333, 1141, 576], [395, 404, 732, 638], [769, 502, 1211, 942]]",3
284.png,0.008066654205322266,123,car,car,car,"[[667, 337, 1150, 571], [372, 411, 730, 637], [759, 509, 1216, 940]]",3
285.png,0.007775068283081055,128,car,car,,"[[657, 313, 1063, 584], [318, 415, 690, 638]]",2
286.png,0.008076190948486328,123,car,car,car,"[[635, 317, 1083, 568], [291, 420, 671, 638], [754, 614, 1246, 941]]",3
287.png,0.0070989131927490234,140,car,car,,"[[260, 409, 654, 650], [588, 324, 1047, 604]]",2
288.png,0.007534027099609375,132,car,car,,"[[203, 400, 655, 660], [741, 596, 1260, 962]]",2
289.png,0.007534027099609375,132,car,car,,"[[257, 395, 678, 637], [834, 608, 1367, 999]]",2
290.png,0.021283626556396484,46,car,,,"[[200, 381, 639, 640]]",1
291.png,0.007441282272338867,134,car,,,"[[260, 371, 703, 603]]",1
292.png,0.007178544998168945,139,car,,,"[[274, 386, 680, 664]]",1
293.png,0.0077593326568603516,128,car,car,,"[[305, 412, 682, 674], [881, 612, 1373, 986]]",2
294.png,0.0075397491455078125,132,car,car,,"[[866, 578, 1377, 1005], [335, 419, 689, 693]]",2
295.png,0.006792306900024414,147,car,car,,"[[899, 627, 1366, 959], [360, 416, 731, 695]]",2
296.png,0.00777435302734375,128,car,car,,"[[878, 612, 1362, 943], [466, 428, 776, 681]]",2
297.png,0.007844209671020508,127,car,car,,"[[463, 432, 781, 693], [861, 515, 1338, 938]]",2
298.png,0.007539987564086914,132,car,car,,"[[479, 425, 845, 709], [875, 518, 1332, 931]]",2
299.png,0.007226228713989258,138,car,,,"[[509, 405, 865, 682]]",1
300.png,0.0072100162506103516,138,car,,,"[[493, 402, 848, 663]]",1
301.png,0.007472515106201172,133,car,,,"[[450, 392, 838, 643]]",1
302.png,0.007936239242553711,126,car,,,"[[449, 393, 829, 639]]",1
303.png,0.00789332389831543,126,car,car,,"[[386, 429, 827, 656], [758, 592, 1228, 969]]",2
304.png,0.0075376033782958984,132,car,car,,"[[382, 425, 777, 671], [772, 508, 1213, 931]]",2
305.png,0.008284807205200195,120,car,car,,"[[347, 431, 800, 668], [756, 509, 1235, 941]]",2
306.png,0.007726907730102539,129,car,car,,"[[307, 430, 799, 671], [740, 560, 1250, 970]]",2
307.png,0.00780177116394043,128,car,car,,"[[307, 430, 799, 671], [740, 560, 1250, 970]]",2
308.png,0.007944822311401367,125,car,car,,"[[261, 437, 768, 695], [740, 574, 1245, 960]]",2
309.png,0.008053302764892578,124,car,car,,"[[732, 577, 1253, 956], [259, 443, 754, 679]]",2
310.png,0.00746607780456543,133,car,,,"[[740, 580, 1240, 954]]",1
311.png,0.007589101791381836,131,car,car,,"[[741, 569, 1249, 958], [124, 479, 673, 739]]",2
312.png,0.007768392562866211,128,car,car,,"[[739, 566, 1249, 974], [64, 459, 666, 741]]",2
313.png,0.007734060287475586,129,car,car,,"[[746, 558, 1251, 971], [38, 454, 676, 749]]",2
314.png,0.007593870162963867,131,car,car,,"[[734, 577, 1265, 960], [12, 478, 677, 753]]",2
315.png,0.007456779479980469,134,car,,,"[[731, 586, 1264, 961]]",1
316.png,0.0075533390045166016,132,car,,,"[[738, 581, 1273, 965]]",1
317.png,0.007500886917114258,133,car,,,"[[727, 589, 1262, 963]]",1
318.png,0.0071828365325927734,139,car,,,"[[750, 587, 1249, 964]]",1
319.png,0.007463693618774414,133,car,,,"[[727, 562, 1237, 972]]",1
320.png,0.007725238800048828,129,car,,,"[[700, 553, 1208, 991]]",1
321.png,0.0074613094329833984,134,car,,,"[[703, 559, 1203, 983]]",1
322.png,0.007539033889770508,132,car,,,"[[681, 544, 1184, 986]]",1
323.png,0.0075130462646484375,133,car,,,"[[688, 552, 1179, 990]]",1
324.png,0.007205009460449219,138,car,,,"[[715, 566, 1182, 994]]",1
325.png,0.007180690765380859,139,car,,,"[[700, 566, 1197, 994]]",1
326.png,0.00745844841003418,134,car,,,"[[687, 568, 1206, 987]]",1
327.png,0.007596015930175781,131,car,,,"[[689, 551, 1199, 991]]",1
328.png,0.007578849792480469,131,car,,,"[[694, 536, 1189, 999]]",1
329.png,0.0076446533203125,130,car,,,"[[687, 539, 1178, 996]]",1
330.png,0.0075054168701171875,133,car,,,"[[696, 542, 1183, 990]]",1
331.png,0.007755756378173828,128,car,,,"[[696, 542, 1183, 990]]",1
332.png,0.007867097854614258,127,car,,,"[[697, 535, 1165, 1001]]",1
333.png,0.0077762603759765625,128,car,,,"[[670, 497, 1152, 964]]",1
334.png,0.007457256317138672,134,car,,,"[[706, 514, 1138, 933]]",1
335.png,0.0068531036376953125,145,,,,[],0
336.png,0.007158994674682617,139,car,,,"[[703, 495, 1149, 945]]",1
337.png,0.007580995559692383,131,car,,,"[[662, 382, 1196, 1039]]",1
338.png,0.0075304508209228516,132,car,,,"[[691, 541, 1182, 996]]",1
339.png,0.007503509521484375,133,car,,,"[[668, 391, 1206, 1028]]",1
340.png,0.00703883171081543,142,car,car,,"[[969, 374, 1919, 913], [816, 450, 1169, 674]]",2
341.png,0.007499217987060547,133,car,,,"[[926, 360, 1907, 920]]",1
342.png,0.0074748992919921875,133,car,,,"[[930, 368, 1904, 911]]",1
343.png,0.007825613021850586,127,car,car,,"[[984, 387, 1919, 900], [835, 445, 1175, 669]]",2
344.png,0.007674694061279297,130,car,car,,"[[992, 383, 1913, 907], [833, 448, 1172, 667]]",2
345.png,0.007524967193603516,132,car,car,,"[[1021, 385, 1897, 902], [832, 444, 1174, 673]]",2
346.png,0.007540702819824219,132,car,car,,"[[1013, 378, 1904, 909], [831, 440, 1179, 675]]",2
347.png,0.007430553436279297,134,car,car,,"[[997, 378, 1915, 909], [830, 442, 1188, 674]]",2
348.png,0.0075435638427734375,132,car,car,,"[[1003, 376, 1918, 907], [822, 447, 1205, 670]]",2
